model,split,bin,rows,mean_pred,realized,error
v28_avg75,train,"[0.700,0.750]",178,0.7241902571843548,0.7359550561797753,-0.011764798995420489
v28_avg75,train,"[0.750,0.800]",167,0.7770618742107748,0.7784431137724551,-0.0013812395616803474
v28_avg75,train,"[0.800,0.850]",149,0.8276740090181164,0.8993288590604027,-0.07165485004228633
v28_avg75,train,"[0.850,0.900]",199,0.8736332102598141,0.9095477386934674,-0.03591452843365328
v28_avg75,train,"[0.900,0.950]",222,0.926198358862343,0.9414414414414415,-0.015243082579098455
v28_avg75,train,"[0.950,0.975]",160,0.9628778802899051,0.95,0.012877880289905108
v28_avg75,train,"[0.975,1.000]",448,0.9932377510982049,0.9910714285714286,0.0021663225267762876
v28_avg75,validation,"[0.500,0.550]",143,0.5235260106328333,0.48951048951048953,0.034015521122343795
v28_avg75,validation,"[0.550,0.600]",102,0.5751493743065228,0.6078431372549019,-0.03269376294837911
v28_avg75,validation,"[0.600,0.650]",80,0.6258265466727725,0.65,-0.024173453327227534
v28_avg75,validation,"[0.650,0.700]",62,0.6747686166530503,0.6451612903225806,0.029607326330469697
v28_avg75,validation,"[0.700,0.750]",48,0.7244693579563789,0.625,0.0994693579563789
v28_avg75,validation,"[0.750,0.800]",54,0.773812126513142,0.7592592592592593,0.014552867253882718
v28_avg75,validation,"[0.800,0.850]",49,0.819951077262661,0.7959183673469388,0.02403270991572226
v28_avg75,validation,"[0.850,0.900]",62,0.8775820242641545,0.9354838709677419,-0.057901846703587334
v28_avg75,validation,"[0.900,0.950]",87,0.9272195054946177,0.9425287356321839,-0.015309230137566132
v28_avg75,validation,"[0.950,0.975]",63,0.9635840460194253,0.9206349206349206,0.04294912538450468
v28_avg75,validation,"[0.975,1.000]",232,0.9929847248427869,0.9913793103448276,0.0016054144979592566
v28_avg75,holdout,"[0.500,0.550]",170,0.525817593418063,0.5352941176470588,-0.009476524228995808
v28_avg75,holdout,"[0.550,0.600]",119,0.5729139775907505,0.6134453781512605,-0.04053140056051008
v28_avg75,holdout,"[0.600,0.650]",94,0.623423002466584,0.6382978723404256,-0.014874869873841567
v28_avg75,holdout,"[0.650,0.700]",72,0.6747506124452403,0.7222222222222222,-0.04747160977698195
v28_avg75,holdout,"[0.700,0.750]",55,0.7234577463564381,0.7090909090909091,0.014366837265529009
v28_avg75,holdout,"[0.750,0.800]",69,0.7779218430071531,0.8115942028985508,-0.03367235989139772
v28_avg75,holdout,"[0.800,0.850]",49,0.8254312483834128,0.8571428571428571,-0.03171160875944434
v28_avg75,holdout,"[0.850,0.900]",49,0.8731618971343514,0.9183673469387755,-0.04520544980442409
v28_avg75,holdout,"[0.900,0.950]",61,0.9277147239866838,0.9016393442622951,0.02607537972438867
v28_avg75,holdout,"[0.950,0.975]",50,0.9636943316406829,0.94,0.02369433164068291
v28_avg75,holdout,"[0.975,1.000]",190,0.9942026741717753,0.9947368421052631,-0.0005341679334878169
v28_avg90,all,"[0.500,0.550]",827,0.5247537200753418,0.5308343409915357,-0.0060806209161938796
v28_avg90,all,"[0.550,0.600]",611,0.5735405769948727,0.5973813420621932,-0.02384076506732047
v28_avg90,all,"[0.600,0.650]",454,0.6236347654043669,0.6718061674008811,-0.04817140199651415
v28_avg90,all,"[0.650,0.700]",350,0.6750393258990828,0.6971428571428572,-0.0221035312437744
v28_avg90,all,"[0.700,0.750]",273,0.7243484223619534,0.7106227106227107,0.013725711739242752
v28_avg90,all,"[0.750,0.800]",276,0.7763825392746044,0.782608695652174,-0.006226156377569514
v28_avg90,all,"[0.800,0.850]",243,0.823709252293872,0.8683127572016461,-0.044603504907774094
v28_avg90,all,"[0.850,0.900]",327,0.8742020288176569,0.908256880733945,-0.0340548519162881
v28_avg90,all,"[0.900,0.950]",360,0.9272528688594002,0.9305555555555556,-0.0033026866961554102
v28_avg90,all,"[0.950,0.975]",267,0.9631796646086133,0.9363295880149812,0.026850076593632033
v28_avg90,all,"[0.975,1.000]",910,0.9936903672975462,0.9923076923076923,0.0013826749898538937
v28_avg90,train,"[0.500,0.550]",518,0.5247824823192471,0.5386100386100386,-0.013827556290791576
v28_avg90,train,"[0.550,0.600]",391,0.5733215617510545,0.5933503836317136,-0.02002882188065902
